File Name,Job Role,Education,Skills and Highlights
10554236.pdf,ACCOUNTANT,"Northern Maine Community College 1994 Associate : Accounting City , State , USA

Emphasis in Business

1994 Associates : Accounting City , State , USA GPA: GPA: 3.41

Accounting GPA: 3.41 174 Hours, Quarter

Attended Husson College, major Accounting 78 semester hours toward Bachelors degree.

Professional Military Comptroller School, 6wk, 4-98; Managerial Accounting I, 09-98; Interested-Based Bargaining Training for Management,
24hrs, 09-01; Auditing Methods and Concepts 09-98; Organizational Leadership, 32hrs, 07-03; Management Development II, 32hrs, 07-03.","Accomplishments, Account reconciliations, Accounting, Accounting operations professional, Accounts Payable, Analysis of financial systems, Critical thinking, ERP (Enterprise Resource Planning) software., Excellent facilitator, Financial reporting, General Accounting, In collaboration with DFAS Europe, Program Management., Results-oriented, Served on a tiger team which identified and resolved General Ledger postings in DEAMS totaling $360B in accounting adjustments. This allowed, deobligate over $5M in duplicate obligations., developed an automated tool that identified duplicate obligations. This tool allowed HQ USAFE to, for the first successful fiscal year-end close for 2012."
10674770.pdf,STAFF ACCOUNTANT,"Bachelor of Science : Accounting , May 2010 University of North Carolina ï¼​ City , State Accounting
Bachelor of Science : Business Administration Finance , May 2010 Business Administration Finance","ADP, AR, Access, Accounts Receivable, Books, Credit, DBA, DBA Quick Books MAS - Sage Software Microsoft Excel ADP Drive Microsoft Access Condo Manager Microsoft Word, Excel, Express, Finance, General Ledger, Microsoft, Microsoft Excel, Microsoft Word, Payables, Peachtree, Quick, QuickBooks, Research, Sage, Sales, Spreadsheet, Tax, accounting, accounts payable, advertising, balance, balance sheet, bank reconciliations, benefits, billing, billings, book keeping, budget, cash flow, cash flow projections, clients, coding, controller, data collection, delivery, documentation, email, financial, financial reporting, financial statements, fixed assets, inventory, job costing, ledger, legal, materials, meetings, negotiating, payroll, processes, purchasing, software support, valuation, year-end"
11163645.pdf,ACCOUNTANT,"Computer Applications Specialist Certificate Program : 2008 Martinez Adult Education, Business Training Center ï¼​ City , State","Access, Accounts Payable, Accounts Receivable, Computer Applications, Credit, Customer Service, Enterprise, Excel, Outlook, PowerPoint, QuickBooks, Sales, Word, accounts payables, accounts receivables, administrative functions, banking, bi, budget, clients, closing, data entry, delivery, driving, email, insurance, inventory, ledger, mortgage loan, phone, policies, sales reports, telecommunications, trial balance, workflow, written"
11759079.pdf,SENIOR ACCOUNTANT,"EMORY UNIVERSITY, Goizueta Business School 5 2007 Bachelor of Business Administration : Accounting City , State GPA: GPA: 3.63/4.0
GPA: 3.77/4.0 Accounting GPA: 3.63/4.0 GPA: 3.77/4.0","Funds, Government, Information Technology, MA, Microsoft Excel, Real Estate, accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets, inventory, investments, ledger, natural, page, payables, processes, programming, research, sales, scheme, telephone, writing skills"
12065211.pdf,SENIOR ACCOUNTANT,"Bachelor of Business Administration : Accounting August 2002 
TEMPLE UNIVERSITY City , State 
Accounting Audit Project: ""Identifying potential risks that would impact the audit of Xerox Corp."" Select Courses: Advance Accounting,
Accounting Information System, Auditing & Assurance Services, Taxation","AccessÂ, Aderant/CMS, Bookkeeping, Budget development, Essbase, Excel, Financial reporting, Hyperion, IFRS, Individual tax returns, Peachtree, QuickBooks Pro, SQL, US GAAP principles"
12202337.pdf,INVESTMENT ACCOUNTANT,"Master of Business Administration : Finance 2011 University of Delaware , City , State , USA

Finance

Bachelor of Science : Medical Technology 2008 University of Delaware , City , State , USA

Medical Technology

Related course work in Business: Financial Reporting and Analysis, Financial Management, Corporate Financial Policies, Investment Analysis and
Portfolio Management, Corporate Governance, Financial Engineering and Risk Management (Derivatives).","* Business Objects, 000, 000 using Stock-Track., Accomplishments, Account reconciliation expert, Account reconciliations, Additional Information, Analytical, Audited customer's bank accounts in the company's system Performed quality assurance reviews on customer information maintained on, Award: Received a special achievement award at BNY Mellon Bank in Asset Servicing (Dec 2013) Award: Received a special, Business Objects, Business Objects and Eagle during the Platform Migration Trained new staff and assist them as needed to meet the department goals., Calculated the average return for each portfolio and rebalanced the portfolio and compared to the S&P 500 for each quarter within the, Case analysis on Price Momentum Strategy Used price momentum model analysis to test whether the price momentum model will work on, Clinical Microbiology Experience - Highlights include ordering, Company Name City, Company Platforms: Business Objects, Completed special projects from the management as needed Trained, Complex problem solving, Currency and, DRAS, DRAS., Detail-oriented, Eagle, Eagle Accounting System, Effective time management, Excellent multitasking, Expert in MS Office Suite, Helped US team by performing tests on Pega Vs., IAX, India) and acted as, Internet and Microsoft Office - MS Word, Invested 25% of our funds in derivatives and rest in index fund, Invested about 25% of our, Invested about 50% of our funds in moderate to high-risk investment in order to achieve capital appreciation, Lombardi, Lombardi and Workbench Reports Communicated and Collaborated with other areas in the, MS Excel, MS Office: Database, MS Power Point, Macros, Macros., Multiple awards for performance.Formally recognized for excellence achieved in financial analysis, Outlook, Oversee and assisted staff in offshore team (Pune, PEGA, Pega, Performed an analysis on our group's portfolio with the market and with other groups., Performed an analysis to determine the allocation of stocks by minimizing CV and graphed the daily returns for each stocks Performed, Pivot Tables, Pivot tables, Positions using Eagle, Professional Experience, Ran daily reports for fund accountants using business objects and MS Database., Reconciled mutual fund accounts with the custody Identified and Resolved differences in Custody and Accounting Cash, Spreadsheets, State AML Compliance Officer 11/2011 to 03/2012, State Investment Accountant 10/2012 to 11/2015, State Medical Technologist 07/2008 to 03/2012, Superior research skills, US stock market as it did with the US Canadian stocks., Used the weighted annual returns and created the worst outlook portfolio and the best outlook portfolio Selected the top eight performing, V-look up, Variance analysis, Workbench, Workbench., a liaison between Pune Office and US., achievement award at BNY Mellon Bank in Asset Servcing (Dec 2014., analytical thinking, between Accounting and custody to resolve any outstanding items in cash, budgeting and forecasting.Increased efficiency, cash and money market., client, communication, currency and positions., custodians that are impacted by the functions of the team Conducted weekly client meetings and act as liaison, firm, fund accountant, funds in low to moderate risk investment in order to preserve our capital., negotiation, of discrepancy investigations by [Number]% by designing a more accurate cash-forecasting system., organization and leadership skills, plating and culturing patient's specimens Tests - Performing, processing, regression analysis and analyzed the regression statistics on weekly returns., same time period., stocks for each quarter to create the best outlook portfolio and compared to the market to determine if the pricing momentum would hold, strategy to drive a simulated investment of $1, time management, up., various bank systems Reconciled the quality assurance results on spreadsheets Performed background search on clients using tools such as, world check and google search Finance Projects at UD Project 1: Group simulation project to develop the investment philosophy and"
12338274.pdf,ACCOUNTANT,"2006
Vidyasagar University City , State , India MBA : Finance Finance
2000
Mohan Lal Sukhadia University City , State , India Select...","2K, 3d, 3d Inifnative, Accomplishments, Account, Accountant, Accounts receivables, Adobe Illustrator, Adobe Photoshop, Audio Editing, Budget preparation, Dec, Developer 2000, Developer 2000., Dos, Enter outstanding achievements that show you can go above and beyond basic job expectations. See Examples General Ledger Accounts, Financial, HR, Inspection, Inventory, MIS, MS Office, Macro Media Director, Maintained accurate accounts including cash, Oracle, Oracle 8I, Pagemaker, Preparation of Financial Statements, Sales, Tally, Video Editing, Windows 9.x, XP, accounting, accounts payable, accrued expenses and line of credit, auditing, banking, book, clients, contracts, cost analysis, credit, debit, documentation, finance, financial, fixed assets, inventory, inventory control, management, modeling, payroll, policies, prepaid, reconciliations, reporting, senior Management, tax, transactions., works"
12442909.pdf,ACCOUNTANT,"Bachelor of Science , Accounting Strayer University ï¼​ City , State",
12780508.pdf,ACCOUNTANT II,"Bachelor of Science Degree : Finance , May 2010 
University of Maryland - State 
Finance","06/2015 to 02/2017, 08/2013 to 06/2015, 40hrs Coordinate and supervise employees within Accounts Payable interacting with internal customers and external suppliers monitoring all, A monitor flow of credit union transactions from the various supporting systems into and out of the general ledger daily, ACH, ATM, Access, Accountant, Accounting, Accounting System, Along with other Finance Department staff, Articulate, Business Intelligence, Calculates and posts month end and year-end accruals as needed., Communicate accounting policies practices and procedures with department manager's vendors and internal customers to ensure, Company Name â€“ City, Credit, Excel, Federal Reserve, Finance, Financial, Identifies vendors requiring an IRS Form 1099 and prepares the form and transmittal., Invoice coding familiarity, Maintains files, Maintains knowledge of all Credit Union processes which affect the general ledger, Maintains records for vendors and accounts payable, Manages the Corporate VISA accounts for managers and volunteers, Manages the accounts payable function - including employee/volunteer reimbursement - from processing incoming invoices, Microsoft Office, Microsoft Word, Oversee employee business expense processing for multiple business units leading projects such as system testing and implementation., PeopleSoft, PowerPoint, Prepare verified processed and maintained a variety of order reconciliation functions., Prepares analyses as requested by manager and other departments., Prepares budget variance reports for various departments as assigned., QuickBooks expert, Responds to inquiries from that manager regarding budgeted and actual expenses., Responsible for assisting with the preparation of financial statements., Responsible for maintaining fixed assets and prepaid sub-ledger accounts., Responsible for preparing and posting entries for the daily posting packet., Responsible for preparing month end and posting entries., Responsible for reconciliation of the clearing accounts, Self-motivated professional, State, Strong communication skills, Superior attention to detail, System originated interfaces refers to the Credit Union owned system as well as external systems, Use office automated systems to input data generate reports conduct investigations and respond to inquiries., Verifies and balances system originated interfaces and posts non-system generated transactions prepared from other sources., Works, Works with that department manager in preparation of annual budget., accounts for payment, accounts payable, accruals, and Credit Cards., and identifies and, and irregularities to provide accurate records for TFCU and its service organizations., and resolving discrepancies., and works with branch staff to ensure incoming wires are posted and resolve issues., approval by appropriate party, banking, bond clearing and cashier check clearing among it's, budget, calculator, cash flow, cashier, center coding, closing, coding, compliance., controls., documentation, equipment maintenance, filing, financial reports, financial statements, fixed assets, funds, general ledger, general ledger accounts, including 1099s and corporate Visa accounts., including ordering and canceling cards, including share drafts, including vault, input into the system, ledger, mailing, networks, office, omissions, on us, phone, policies, preparation of, processes, processes outgoing and incoming wires, processing corporate Visa, receiving, reconciling, reporting, research, resolves errors, sales, scanning, scheduling, stock ownership., such as shared branching and ATM, through cost, to check preparation and mailing., transaction networks., transfer, verifies those wires have all required documentation, wire transfers, year-end"
12802330.pdf,LEAD ACCOUNTANT,"BS : Accounting Business Administration , 2005 University of Maryland University College ï¼​ City , State Accounting Business Administration
CPA Candidate","Accounting Systems, Budget, Budget Administration, CPA, Cash-Flow, Cash-Flow Analysis, Crystal Reports, Database Management, Enterprise, Essbase, Excel, FAR, FRx reporting., Financial Accounting, Financial Reporting, Forecasting, Forecasting/Trend Analysis, Great Plains, Hyperion, Hyperion Workspace, In-house Accounting Systems and Financial Reporting, Integration, MAS 90, MS Office, MS Office with strong Excel skill, Manager, Oxley, Peachtree, Performance Reporting, Planning, QuickBooks, Research, Sarbanes-, Sarbanes-Oxley Research and Compliance, Schedules and Reports, Strategic Planning, Tax Preparation, Tax Preparation and Compliance, Trend, Variance Analysis, WAWF, accounting, ad, analytical skills, auditing, automation, billing, budgeting, budgets, business, business operations, cash flow, closing, contracts, financial, financial analysis, financial analysis/planning, financial statements, fixed assets, general, inventory, law, ledger, market, negotiation, personnel, policies, pricing, process, processes, quantitative analysis, reconciling, relationship management, reporting, researching, sales, senior management, tax, taxes"
